name,address
"1,2,3약국",경기도 남양주시 오남읍 양지로 47-63 (오남읍)
1004약국,경기 고양시 덕양구 동세로 19 (동산동)1층
100세약국,인천광역시 남동구 남동대로 892 1층 (간석동)
100세약국,전라북도 전주시 완산구 선너머4길 6 (중화산동1가)
1등약국,"경기도 화성시 동탄중앙로 381-13 101호 (석우동, 성심제일프라자)"
1등약국,"경기 화성시 동탄중앙로 381-13 (석우동) ,101호 102호"
1번약국,서울특별시 구로구 구로동로 132 (구로동)
1호선범일약국,부산광역시 동구 범일로 108 지하 1층 17호 (범일동)
21C세계로약국,서울특별시 강서구 화곡로 173 1층 (화곡동)
21세기 동규약국,경기도 오산시 대원로 1 (오산동)
21세기길약국,"인천광역시 남동구 독점로29번길 30 103,105호 (구월동)"
21세기맑은약국,인천광역시 부평구 길주로 623 지하2층 (삼산동)
21세기박약국,전라북도 김제시 서낭당길 3 (요촌동)
21세기세계로약국,"경기도 성남시 중원구 산성대로372번길 14 1층 (금광동, 동성빌딩)"
21세기약국,강원 강릉시 송정동 1008-7이마트 1층 (경강로2398번길-10)
21세기약국,강원도 춘천시 보안길 64-1 (후평동)
21세기약국,경상북도 구미시 송정대로 5 (송정동)
21세기약국,"광주광역시 서구 금화로 240 , 2층 (풍암동, 월드컵경기장) 롯데마트2층"
21세기약국,대구광역시 달서구 성지로 78 (용산동)
21세기약국,"대전광역시 서구 문예로 107 ,2층"
21세기약국,대전광역시 서구 문예로 107 3층
21세기약국,대전광역시 유성구 테크노중앙로 14 (관평동)
21세기약국,부산광역시 동래구 중앙대로 1393 롯데마트 지하1층 (온천동)
21세기약국,인천광역시 남동구 만수로 47 102호 (만수동)
21세기우리네약국,부산광역시 남구 수영로 43 (문현동)
21세기청학보건당약국,경기도 남양주시 별내면 청학로중앙길 9 (청화빌딩 1층)
24시약국,경상남도 통영시 안개로 9 102호 (무전동)
2층바른약국,"서울특별시 중구 다산로11길 3 2층 (신당동, 약수JK빌딩)"
2층써밋약국,"서울 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋)2층 222-2호"
2층약국,"부산광역시 부산진구 서면로 74 105,106호 (부전동, 아이온시티빌딩)"
365그린약국,"서울특별시 강서구 강서로 43 B104호 (화곡동, 도양라비앙타워)"
365나래약국,충청남도 천안시 서북구 성정공원7길 3 (성정동)
365동서약국,"경기도 구리시 체육관로 162 (수택동, 온누리약국)"
365드림약국,"경기도 남양주시 늘을1로16번길 25 1층 3, 4호 (호평동, 성보빌딩)"
365드림약국,경기도 의정부시 천보로 44 8층 804호 (민락동)
365미소약국,"서울특별시 은평구 진관3로 11 ,101동 111호(진관동,은평뉴타운 힐데스하임)"
365별약국,"경기 수원시 영통구 광교중앙로 170 (하동, 광교 효성해링턴 타워) 상가동 311호"
365스마일약국,대전 서구 관저로 27 (관저동)365스마일약국
365스마일약국,"충청남도 홍성군 홍북읍 홍학로 95 (신경리, 아이프라자2) 104호"
365신천중앙약국,"경기도 시흥시 수인로 3366 1층, 102호 (신천동, 삼영아트빌)"
365신천중앙약국,"경기도 시흥시 수인로 3366 (신천동, 삼영아트빌) 1층"
365약국,경기도 하남시 미사강변중앙로 226 1층 112호
365약국,경북 경산시 대학로 11 101호 (중산동)
365약국,경상북도 영주시 구성로 377 1층
365약국,"경기도 고양시 일산동구 중앙로1275번길 60-14 302호 (장항동, 고일프라자 )"
365약국,서울특별시 성북구 동소문로 321 1층 (길음동)
365열린약국,인천광역시 서구 청라라임로 51 에일린의뜰 1층
365열린약국,"경기도 이천시 구만리로 191 ,2층(안흥동,롯데캐슬 골드스카이)"
365열린약국,서울특별시 관악구 남부순환로 1615 (신림동)
365열린약국,"서울특별시 구로구 남부순환로97길 3 105호 (개봉동, KS프리미어빌딩)"
365열린약국,"서울 구로구 남부순환로97길 3 (개봉동, KS프리미어빌딩)105호 365열린약국"
365열린약국,"울산광역시 동구 방어진순환도로 652 C동 116~117호 (일산동, 테라스파크)"
365열린약국,"인천광역시 부평구 부일로 87 (부개동, 송신빌딩)"
365열린약국,전남 여수시 시청로 46 (학동)101호 365열린약국
365열린온누리약국,인천광역시 남구 낙섬중로 105 유원빌딩 1층 101호 (용현동)
365올바른약국,"경기도 안양시 만안구 태평로52번길 21 103호, 115호 (안양동)"
365우리약국,경기 포천시 일동면 화동로 1056 (기산리)1층 365우리약국
365우리약국,"전라남도 나주시 전력로 2 (빛가람동, 이화프라자) 114호"
365웰스팜약국,경기도 남양주시 별내2로 64 (별내동)
365일행복한약국,전라북도 군산시 공단대로 383 (나운동)
365조은약국,경기 시흥시 목감중앙로 47 (조남동)골든프라자 101호(조남동)
365지안약국,경기도 남양주시 진접읍 해밀예당1로 221 101호 (지안빌딩)
365푸른약국,"경기 남양주시 다산지금로 131 (다산동, 다산지금지구 근생8-3)아인시티3, 103호,104호"
365행복약국,"서울특별시 노원구 한글비석로 57 지하1층 (하계동, 세이브존)"
3층사랑약국,"경기도 고양시 덕양구 무원로 63 , 308호 (행신동,무원마을10단지아파트)"
3층온누리약국,"경기 용인시 기흥구 기흥역로 63 (구갈동, 힐스테이트 기흥)ak앤기흥, 3층"
3층파란문약국,"서울 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋)3층 305-1"
3층한사랑약국,"서울특별시 서초구 반포대로 287 311호 (반포동, 래미안퍼스티지중심상가)"
4공단약국,"경상북도 구미시 옥계북로 36 103호 (옥계동, 메디칼타워)"
5층사랑약국,서울특별시 중구 서소문로 103 배재빌딩 511호 (서소문동)
8번가위드팜약국,서울특별시 서대문구 성산로 515 1층 (대신동)
D마트약국,"강원도 원주시 천사로 50 1층 (단계동, 새동빌딩)"
E-푸른약국,"경기도 수원시 권선구 덕영대로 1205 103호 (권선동, 미래타운)"
J정약국,"경기도 성남시 분당구 느티로 16 102호 (정자동, 젤존타워1)"
K마트약국,"경기도 남양주시 늘을1로 286, 107호(호평동)"
LaVita미래약국,광주광역시 서구 운천로 131 A동 지하1층 105호 (쌍촌동)
M프라자약국,"경기도 광명시 금하로 464 107,108호 (소하동, 메이저리치안)"
NK드림약국,"세종특별자치시 한누리대로 161 (나성동, 세종시 NK리움힐 상가)115,1116호"
SR스타약국,충북 진천군 덕산읍 시가로 24 (두촌리)105/106호
