name,address,drug
1번약국,서울특별시 구로구 구로동로 132 (구로동),비판텐
21C세계로약국,서울특별시 강서구 화곡로 173 1층 (화곡동),비판텐
2층바른약국,"서울특별시 중구 다산로11길 3 2층 (신당동, 약수JK빌딩)",비판텐
365그린약국,"서울특별시 강서구 강서로 43 B104호 (화곡동, 도양라비앙타워)",비판텐
365미소약국,"서울특별시 은평구 진관3로 11 ,101동 111호(진관동,은평뉴타운 힐데스하임)",비판텐
365약국,서울특별시 성북구 동소문로 321 1층 (길음동),비판텐
365열린약국,서울특별시 관악구 남부순환로 1615 (신림동),비판텐
365열린약국,"서울특별시 구로구 남부순환로97길 3 105호 (개봉동, KS프리미어빌딩)",비판텐
365행복약국,"서울특별시 노원구 한글비석로 57 지하1층 (하계동, 세이브존)",비판텐
3층한사랑약국,"서울특별시 서초구 반포대로 287 311호 (반포동, 래미안퍼스티지중심상가)",비판텐
5층사랑약국,서울특별시 중구 서소문로 103 배재빌딩 511호 (서소문동),비판텐
8번가위드팜약국,서울특별시 서대문구 성산로 515 1층 (대신동),비판텐
W스토어 참좋은약국,"서울특별시 성북구 동소문로 34 1층 (동소문동3가, 연진빌딩)",비판텐
i튼튼약국,서울특별시 노원구 동일로 1059 (공릉동),비판텐
the사랑약국,서울특별시 노원구 한글비석로 331 중계주공3단지아파트단지내상가 101호 (중계동),비판텐
가까운사랑약국,"서울특별시 강동구 양재대로 1576 (명일동, 삼익빌딩)",비판텐
가까운새서울약국,서울특별시 송파구 토성로 18 (풍납동) 가까운새서울약국,비판텐
가까운신촌약국,서울특별시 서대문구 연세로 40 (창천동),비판텐
가까운약국,"서울특별시 관악구 양녕로 46 112호 (봉천동, 메카플러스)",비판텐
가까운약국,"서울특별시 동대문구 천호대로 313 10호, 11호 (답십리동, 태영빌딩)",비판텐
가까운약국,서울특별시 서대문구 모래내로 364 (홍은동),비판텐
가까운온누리약국,"서울특별시 양천구 목동서로 349 106호 (신정동, 센트럴프라자빌딩)",비판텐
가까운이화약국,서울특별시 송파구 강동대로 74 1층 108호 지층 8103호 (잠실올림픽아이파크상가),비판텐
가까운정문약국,서울특별시 중랑구 신내로16길 17 101호 (신내동),비판텐
가까운행복약국,서울특별시 성북구 인촌로13길 8 1층 (안암동2가),비판텐
가든건강약국,서울특별시 송파구 충민로 52 가든파이브웍스 S동 307호 (문정동),비판텐
가락약국,서울특별시 송파구 송파대로 286 (가락동),비판텐
가람약국,"서울특별시 양천구 공항대로 564 ,1층 5호",비판텐
가로수길약국,서울특별시 강남구 압구정로 108 1층 7호 (신사동),비판텐
가산약국,서울특별시 금천구 가산로 116 (가산동),비판텐
가양마트약국,"서울특별시 강서구 양천로 559 2층 (가양동, 이마트)",비판텐
가양온누리약국,서울특별시 강서구 허준로 198 104호 (가양동),비판텐
가장큰이대약국,서울특별시 강서구 공항대로 247,비판텐
가장큰태평양약국,서울특별시 용산구 대사관로 52 1층 (한남동),비판텐
가장큰현대아산약국,서울특별시 송파구 강동대로 67 (풍납동),비판텐
가정약국,서울특별시 용산구 청파로 333 (청파동1가),비판텐
가족건강약국,"서울특별시 동작구 등용로 115 101호 (대방동, 엘리시아빌딩)",비판텐
가족건강약국,"서울특별시 동작구 등용로 115 (대방동, 엘리시아빌딩) 1층 101호",비판텐
가좌진약국,서울특별시 서대문구 모래내로 137 1층 (남가좌동),비판텐
감초당약국,서울특별시 송파구 백제고분로41길 11,비판텐
감초당온누리약국,서울특별시 동대문구 한천로 242 1층 (전농동),비판텐
강남리더스약국,서울특별시 강남구 헌릉로 569 1층 105호 (세곡동),비판텐
강남메디칼약국,"서울특별시 서초구 방배로 174 1층 (방배동, 태창빌딩)",비판텐
강남백세약국,서울특별시 강남구 도곡로 448 1층 일부호 (대치동),비판텐
강남봄약국,"서울특별시 강남구 테헤란로4길 46 140호 (역삼동, 쌍용플래티넘밸류)",비판텐
강남세계로약국,서울특별시 강남구 논현로 52 1층 (개포동),비판텐
강남약국,서울특별시 강동구 양재대로 1355 (성내동),비판텐
강남역스타약국,"서울특별시 강남구 테헤란로4길 6 , 지하1층 B106호 (역삼동, 강남역센트럴애비뉴)",비판텐
강남웰약국,"서울특별시 강남구 강남대로 432 (역삼동, 지하 1101호)",비판텐
강남제일약국,서울특별시 강남구 테헤란로 139 (역삼동),비판텐
강남조은약국,"서울특별시 강남구 남부순환로 2633 102호 (도곡동, 호림빌딩)",비판텐
강남프라자약국,서울특별시 강남구 학동로 323 (논현동),비판텐
강남허브약국,"서울특별시 강남구 학동로 342 109호 (논현동, SK허브빌딩)",비판텐
강동태평양약국,서울특별시 강동구 양재대로 1343 (성내동),비판텐
강북메디칼약국,서울특별시 강북구 도봉로 190 (미아동),비판텐
강서연세약국,"서울특별시 강서구 화곡로 346 103호 (화곡동, 귀뚜라미홈시스텔)",비판텐
강서자이온누리약국,"서울특별시 강서구 양천로 401 109-2호 (가양동, 강서한강자이타워A동)",비판텐
강서홈약국,서울특별시 강서구 화곡로 398 홈플러스 강서점 1층,비판텐
강원약국,서울특별시 성북구 아리랑로 117-7 (정릉동),비판텐
강일약국,"서울특별시 강동구 아리수로97길 19 상가동 201호 (강일동, 강일리버파크)",비판텐
개나리봄약국,"서울특별시 강남구 역삼로 310 , 2층 26호 (역삼동, 한솔필리아)",비판텐
개롱약국,"서울특별시 송파구 오금로 396 (가락동, 에스케이허브파크)1층 114호",비판텐
개성약국,"서울특별시 구로구 경인로 176 308호 (오류동, 시티월드)",비판텐
개포플러스약국,서울특별시 강남구 선릉로 30 개포빌딩 1층,비판텐
