name,address,drug
구로2호선약국,"서울특별시 구로구 도림천로 477, 232-001호",덱스파놀
신사역365약국,"서울특별시 강남구 도산대로 지하 102, 327-104호(신사동)",덱스파놀
버드나무약국,"서울특별시 양천구 오목로 지하 342, 지하2층 521-201호(목동)",덱스파놀
홍신약국,서울특별시 중구 남대문로9길 52(무교동),덱스파놀
태영프라자약국,"서울특별시 구로구 경인로59길 8, 108호 (신도림동,태영프라자)",덱스파놀
태령약국,서울특별시 영등포구 신길동 234-6,덱스파놀
중앙약국,"서울특별시 관악구 난곡로 367 (신림동,1층105호)",덱스파놀
중앙사약국,"서울특별시 금천구 시흥대로 202(시흥동,1층)",덱스파놀
종로온누리약국,"서울특별시 종로구 종로 293, 1층 (창신동)",덱스파놀
종로약국,서울특별시 강남구 도곡로 419 (대치동),덱스파놀
이문우량아약국,서울특별시 동대문구 신이문로 23 (이문동) 1층,덱스파놀
우신약국,서울특별시 영등포구 영등포로 250-1(영등포동3가),덱스파놀
옵티마뚝도시장약국,"서울특별시 성동구 성덕정길 96 1(성수동2가,1층)",덱스파놀
영신약국,"서울특별시 서대문구 거북골로14길 32 110(북가좌동,가재울아이파크아파트상가지3층)",덱스파놀
신원약국,"서울특별시 서초구 강남대로10길 60-1, 101호 (양재동)",덱스파놀
신분당약국,"서울특별시 강남구 강남대로 390, 신분당선 강남역내 23호 (역삼동)",덱스파놀
소망약국,서울특별시 마포구 양화로 165 (동교동),덱스파놀
비즈메드약국,"서울특별시 금천구 시흥동 889-8 106, 107호",덱스파놀
백세약국,서울특별시 도봉구 도당로15길 12(방학동),덱스파놀
모래내백화점약국,"서울특별시 서대문구 수색로 38,1층(남가좌동)",덱스파놀
다온약국,"서울특별시 은평구 은평로 123 응암아네스트 1층 101호 (응암동,응암아네스트)",덱스파놀
녹십자약국,"서울특별시 송파구 올림픽로 130(잠실동,1층)",덱스파놀
까치프라자약국,"서울특별시 강서구 화곡동 341-65 화곡판타지아 104호,105호",덱스파놀
건강한약국,"서울특별시 광진구 천호대로 655, 1층 (중곡동)",덱스파놀
강남웰약국,"서울특별시 강남구 강남대로 432(역삼동, 지하 1101호)",덱스파놀
가족건강약국,"서울특별시 동작구 등용로 115,1층 101호 (대방동)",덱스파놀
365열린약국,"서울특별시 구로구 남부순환로97길 3,105(개봉동,KS프리미어빌딩)",덱스파놀
