name,address
석산약국,"서울특별시 성북구 오패산로1길 1, (하월곡동)"
왕십리약국,"서울특별시 성동구 무학봉길 92, (하왕십리동)"
베어약국,"서울특별시 강남구 봉은사로114길 12, 지하 1층 (삼성동)"
이층약국,"서울특별시 은평구 연서로 9, 2층 205(상가)호 (역촌동, 센타폴리스)"
한림약국,"서울특별시 강동구 성안로 149, 1층 (천호동)"
21세기상계약국,"서울특별시 노원구 동일로 1548, (상계동)"
삼성정문약국,"서울특별시 강남구 일원로 95, 109호 (일원동, 신영프라자)"
동산약국,"서울특별시 노원구 동일로 1280, 1층 109호,110호 (중계동, 무지개아파트단지내상가)"
서울숲약국,"서울특별시 성동구 독서당로 336, 리버마이다스빌 2층 207호 (금호동4가)"
행복약국,"서울특별시 동작구 등용로 115, 101호 (대방동, 엘리시아빌딩)"
부자약국,"서울특별시 서대문구 홍은중앙로 91, 1층 (홍은동)"
면목이화온누리약국,"서울특별시 중랑구 겸재로 201, 1층 (면목동, 봄작시티 201)"
한시까지약국,"서울특별시 영등포구 영등포로 250-1, (영등포동3가)"
홍은약국,"서울특별시 서대문구 가좌로 65, 1층 102호 (홍은동, 서강주상복합아파트)"
암사조은온누리약국,"서울특별시 강동구 고덕로 133, 상가동 511호 (암사동, 강동롯데캐슬퍼스트아파트)"
스카이약국,"서울특별시 서초구 방배로 199, 1층 C호 (방배동)"
화인약국,"서울특별시 송파구 중대로 80, (문정동, 롯데마트 3층)"
프라자약국,"서울특별시 관악구 봉천로 391, 115호 (봉천동, 두산아파트에이상가)"
한빛약국,"서울특별시 중랑구 겸재로 225, 1층 (면목동)"
파마시아약국,"서울특별시 서초구 강남대로85길 9, 1층 (반포동)"
상일약국,"서울특별시 강동구 고덕로 380, 고덕아르테온(근린생활시설-2) 2동 1층 105-1호 (상일동)"
오늘약국,"서울특별시 서초구 강남대로95길 38, 1층 (잠원동)"
열린약국,"서울특별시 관악구 양녕로 50, 3층 (봉천동)"
샘보건약국,"서울특별시 동작구 상도로 207, 1층 B205호 (상도동, 상도효성해링턴플레이스)"
미소현약국,"서울특별시 서초구 강남대로 521-4, 태영빌딩 1층 102호 (반포동)"
가산소중한약국,"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)"
리본약국,"서울특별시 강남구 도산대로 138, (논현동)"
마음약국,"서울특별시 동대문구 왕산로 183, 1층 (청량리동)"
모두온누리약국,"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)"
새봄약국,"서울특별시 송파구 풍성로 55, 1층 (풍납동)"
365그랜드약국,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)"
새서울약국,"서울특별시 구로구 가마산로 268, 대림역와이즈플레이스 108호 (구로동)"
청담장수 한약국,"서울특별시 강남구 도산대로89길 3, (청담동, 2층 일부)"
대도약국,"서울특별시 종로구 우정국로 38-1, 1층 (견지동)"
메디팜정연약국,"서울특별시 강남구 강남대로 256, 103호 (도곡동, 대우양재디오빌)"
진선약국,"서울특별시 강남구 선릉로 424, (대치동)"
국민약국,"서울특별시 강서구 곰달래로 225, 1,2층 (화곡동)"
직영약국,"서울특별시 강북구 도봉로67길 13, (미아동)"
새서울약국,"서울특별시 강북구 솔샘로 223, (미아동)"
금창약국,"서울특별시 동대문구 약령시로 3, 1층 (제기동)"
양천그린약국,"서울특별시 양천구 신월로 338, 101호 (신정동)"
사랑약국,"서울특별시 금천구 시흥대로 189, 1층 103호 (시흥동)"
1층엔약국,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)"
풍경약국,"서울특별시 금천구 시흥대로 426, 영진빌딩 1층 (독산동)"
현대약국,"서울특별시 관악구 관악로 233, 1층 101호 (봉천동)"
최선약국,"서울특별시 동대문구 전농로 36, (답십리동)"
라파엘약국,"서울특별시 강서구 강서로 460, 평안빌딩 1층 101호 (등촌동)"
참소망약국,"서울특별시 송파구 양재대로 1222, 올림픽프라자 3층 15호 (방이동)"
이화정문약국,"서울특별시 강서구 마곡중앙4로 74, 104~105호 (마곡동)"
새그린약국,"서울특별시 송파구 토성로 58, (풍납동)"
설파약국,"서울특별시 동대문구 전농로 134, (전농동)"
다정약국,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 1층 (반포동)"
강남성지약국,"서울특별시 서초구 강남대로 419, 파고다타워 B2층 101호 (서초동)"
종로5가미래약국,"서울특별시 종로구 종로 211-1, 소암빌딩 1층 (종로5가)"
서초무지개약국,"서울특별시 서초구 효령로 403, 4층 410호 (서초동)"
